;;;;;;;;;;;640;;;;;;;;0;;;;;
;;;;;;;;;;;640;;;;;;;;0;;;;;
;;;;;;;;;;; 71.012,91 ;;;;;;;;0;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;H?ng m?c;D3  ??n ngày 7/10/2025;;;;;;;;;D4 ( kh?i D4 ch?a ký h?p ??ng nhà th?u);;;;;;;;;T?NG C?NG D3 VÀ D4 (D3+D4);;;;
;;Giá tr? h?p ??ng ;Giá tr? ?ã th?c hi?n ;T?m ?ng theo H?;???c quy?n thanh toán;?ã thanh toán ;Công n? còn l?i ???c quy?n thanh toán;giá tr? gi? l?i còn ph?i tr?;"T?ng Giá tr?  HD còn l?i
ch?a th?c hi?n D3";t?ng giá tr? c?n ph?i thanh toán;Giá tr? h?p ??ng D4 ;Giá tr? ?ã th?c hi?n ;T?m ?ng theo H?;???c quy?n thanh toán;?ã thanh toán ;Công n? còn l?i ???c quy?n thanh toán;giá tr? gi? l?i còn l?i  ph?i tr?;"T?ng Giá tr?  HD còn l?i
ch?a th?c hi?n D4"; t?ng giá tr? c?n ph?i thanh toán ;Giá tr? còn l?i ???c quy?n ph?i thanh toán D3 và D4;Giá tr? gi? l?i còn ph?i thanh toán;Giá tr? h?p ??ng còn ph?i th?c hi?n;Dòng ti?n còn ph?i th?c hi?n;
3.2; + Tháp B -SMC ; 14.731.456.217 ; -   ; 1.473.145.622 ; -   ;;; -   ; 14.731.456.217 ; 13.258.310.595 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ; -   ; -   ; 14.731.456.217 ; 13.258.310.595 ;
C; Th?u MEP ( ?ã ký D3, D4 t?m tính); 249.281.651.071 ; 47.976.863.356 ; 18.959.278.430 ; 36.468.728.782 ; 21.264.271.025 ; 15.204.457.757 ; 11.508.134.574 ; 201.304.787.715 ; 209.058.101.616 ; 111.394.822.553 ; -   ; -   ; -   ; -   ; -   ; -   ; 111.394.822.553 ; 111.394.822.553 ; 15.204.457.757 ; 11.508.134.574 ; 312.699.610.269 ; 320.452.924.170 ;
1; Chi?u sáng thoát n??c  - (Vietree) thanh toán 85% - t?m ?ng t??ng ?ng; 125.000.000.000 ; 38.886.501.232 ; 8.750.000.000 ; 29.650.957.189 ; 17.979.627.282 ; 11.671.329.907 ; 9.235.544.043 ; 86.113.498.768 ; 98.270.372.718 ; 56.661.051.653 ; -   ; -   ; -   ; -   ; -   ; -   ; 56.661.051.653 ; 56.661.051.653 ; 11.671.329.907 ; 9.235.544.043 ; 142.774.550.421 ; 154.931.424.371 ;
2;"H? th?ng PCCC
?i?u hoà KK, thông gió (G-Tech)  thanh toán 85% - t?m ?ng t??ng ?ng"; 68.796.000.000 ; 9.090.362.124 ; 6.879.600.000 ; 6.817.771.593 ; 3.284.643.743 ; 3.533.127.850 ; 2.272.590.531 ; 59.705.637.876 ; 58.631.756.257 ; 31.184.429.676 ; -   ; -   ; -   ; -   ; -   ; -   ; 31.184.429.676 ; 31.184.429.676 ; 3.533.127.850 ; 2.272.590.531 ; 90.890.067.552 ; 89.816.185.933 ;
3;Trung th? và máy bi?n áp & Gói 4 - H? th?ng t? ?i?n, máng cáp ( Quang Minh) ; 48.903.964.831 ; -   ; 2.880.888.110 ; -   ; -   ; -   ; -   ; 48.903.964.831 ; 46.023.076.721 ; 21.763.931.224 ; -   ; -   ; -   ; -   ; -   ; -   ; 21.763.931.224 ; 21.763.931.224 ; -   ; -   ; 70.667.896.055 ; 67.787.007.945 ;
4;H? th?ng x? lý n??c th?i ( Vi?t Tín Thành); 4.487.903.200 ; -   ; 448.790.320 ; -   ; -   ; -   ; -   ; 4.487.903.200 ; 4.039.112.880 ; 1.785.410.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.785.410.000 ; 1.785.410.000 ; -   ; -   ; 6.273.313.200 ; 5.824.522.880 ;
5;PL h?p ??ng  vi?t tín thành; 2.093.783.040 ; -   ; -   ; -   ; -   ; -   ; -   ; 2.093.783.040 ; 2.093.783.040 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2.093.783.040 ; 2.093.783.040 ;
D;V?t t? hoàn thi?n ( ch?a ký h?p ??ng, giá tr? H? D3, D4 t?m tính); 153.956.452.806 ; 958.942.160 ; -   ; 958.942.160 ; 958.942.160 ; -   ; -   ; 152.997.510.646 ; 152.997.510.646 ; 50.859.572.661 ; -   ; -   ; -   ; -   ; -   ; -   ; 50.859.572.661 ; 50.859.572.661 ; -   ; -   ; 203.857.083.307 ; 203.857.083.307 ;
1; Cung c?p G?ch ?p, lát; 19.856.793.600 ; 703.913.760 ; -   ; 703.913.760 ; 703.913.760 ; -   ; -   ; 19.152.879.840 ; 19.152.879.840 ; 9.928.396.800 ; -   ; -   ; -   ; -   ; -   ; -   ; 9.928.396.800 ; 9.928.396.800 ; -   ; -   ; 29.081.276.640 ; 29.081.276.640 ;
2; Cung c?pThi?t b? v? sinh; 18.755.383.500 ; -   ; -   ; -   ; -   ; -   ; -   ; 18.755.383.500 ; 18.755.383.500 ; 8.267.411.250 ; -   ; -   ; -   ; -   ; -   ; -   ; 8.267.411.250 ; 8.267.411.250 ; -   ; -   ; 27.022.794.750 ; 27.022.794.750 ;
3;Cung c?p b?t, S?n n??c ; 16.118.324.010 ; 255.028.400 ; -   ; 255.028.400 ; 255.028.400 ; -   ; -   ; 15.863.295.610 ; 15.863.295.610 ; 8.059.162.005 ; -   ; -   ; -   ; -   ; -   ; -   ; 8.059.162.005 ; 8.059.162.005 ; -   ; -   ; 23.922.457.615 ; 23.922.457.615 ;
4; Thi công hoàn thi?n  ( nhân công, tr?n th?ch cao, lát g?ch, ch?ng th?m ,v?t t? ph? ,..) (Tháp B ch?a ký) - SMC l?y theo Ardor; 45.603.346.484 ; -   ; -   ; -   ; -   ; -   ; -   ; 45.603.346.484 ; 45.603.346.484 ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45.603.346.484 ; 45.603.346.484 ;
5; Thi công ?á hoa c??ng ( nhân công & V?t t?)  (t?m tính); 2.200.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 2.200.000.000 ; 2.200.000.000 ; 1.100.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.100.000.000 ; 1.100.000.000 ; -   ; -   ; 3.300.000.000 ; 3.300.000.000 ;
6; Cung c?p & thi công  c?a k? thu?t ch?ng cháy  (t?m tính); 17.955.805.647 ; -   ; -   ; -   ; -   ; -   ; -   ; 17.955.805.647 ; 17.955.805.647 ; 8.977.902.823 ; -   ; -   ; -   ; -   ; -   ; -   ; 8.977.902.823 ; 8.977.902.823 ; -   ; -   ; 26.933.708.470 ; 26.933.708.470 ;
7;"  C?a ?i c?n  h? DF3  (t?m tính)
  "; 12.376.632.400 ; -   ; -   ; -   ; -   ; -   ; -   ; 12.376.632.400 ; 12.376.632.400 ; 6.188.316.200 ; -   ; -   ; -   ; -   ; -   ; -   ; 6.188.316.200 ; 6.188.316.200 ; -   ; -   ; 18.564.948.600 ; 18.564.948.600 ;
8;Cung c?p & thi công Lan can (t?m tính); 4.703.567.165 ; -   ; -   ; -   ; -   ; -   ; -   ; 4.703.567.165 ; 4.703.567.165 ; 2.351.783.583 ; -   ; -   ; -   ; -   ; -   ; -   ; 2.351.783.583 ; 2.351.783.583 ; -   ; -   ; 7.055.350.748 ; 7.055.350.748 ;
9;Cung c?p & l?p ??t thi?t b?,  thi công hoàn thi?n h? b?i (t?m tính); 3.000.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 3.000.000.000 ; 3.000.000.000 ; 1.500.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.500.000.000 ; 1.500.000.000 ; -   ; -   ; 4.500.000.000 ; 4.500.000.000 ;
10;Máy phát ?i?n (t?m tính); 3.086.600.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 3.086.600.000 ; 3.086.600.000 ; 3.086.600.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 3.086.600.000 ; 3.086.600.000 ; -   ; -   ; 6.173.200.000 ; 6.173.200.000 ;
11;Khóa t?; 2.800.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 2.800.000.000 ; 2.800.000.000 ; 1.400.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.400.000.000 ; 1.400.000.000 ; -   ; -   ; 4.200.000.000 ; 4.200.000.000 ;
12; L?p ??t thi?t b? vs D3 ( vietree) - d? ki?n ( a Nhân ko ??ng ý phát sinh ph?n này ); 7.500.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 7.500.000.000 ; 7.500.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7.500.000.000 ; 7.500.000.000 ;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;Nhà th?u HLP;#REF!;;;;;;;;;#REF!;;;;;;;;#REF!;;;;;
A; Ph?n thô & Xây tô; 317.601.639.515,59 ;;;;;;;;; 304.060.730.137,48 ;;;;;;;; 621.662.369.653,07 ;;;;;
; BTCT  HLP ; 225.415.610.242   ;;;;;;;;; 195.670.093.937 ;;;;;;;; 421.085.704.180 ;;;;;
;Xây HLP; 43.159.398.816 ;;;;;;;;; 71.790.318.503 ;;;;;;;; 114.949.717.319 ;;;;;
;Tô HLP; 31.365.273.243 ;;;;;;;;;;;;;;;;; 31.365.273.243 ;;;;;
;CTBD HLP; 17.661.357.214 ;;;;;;;;; 18.337.681.821 ;;;;;;;; 35.999.039.035 ;;;;;
; Phát sinh c?c khoan nh?i;;;;;;;;;; 18.262.635.876 ;;;;;;;; 18.262.635.876 ;;;;;
B; Thi công hoàn thi?n  ( nhân công, tr?nth?ch cao, lát g?ch, ch?ng th?m ,v?t t? ph? ,..) - d? ki?n ;#REF!;;;;;;;;;#REF!;;;;;;;;#REF!;;;;;
;Nhà Th?u SMC; 322.385.645.235 ;;;;;;;;; -   ;;;;;;;;;;;;;
A; Ph?n thô & Xây tô;#REF!;;;;;;;;;;;;;;;;;;;;;;
; BTCT  SMC; 236.363.472.631 ;;;;;;;;;;;;;;;;; 236.363.472.631 ;;;;;
;Xây SMC; 43.607.307.799 ;;;;;;;;;;;;;;;;; 43.607.307.799 ;;;;;
;Tô SMC; 31.563.942.307 ;;;;;;;;;;;;;;;;;;;;;;
;CTBD SMC; 10.850.922.498 ;;;;;;;;;;;;;;;;;;;;;;
B; Thi công hoàn thi?n  ( nhân công, tr?nth?ch cao, lát g?ch, ch?ng th?m ,v?t t? ph? ,..) - d? ki?n ;#REF!;;;;;;;;;;;;;;;;;;;;;;
;có VAT;#REF!;;;;;;;;;#REF!;;;;;;;;#REF!;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
